rfam_acc,description,rna_type,number_seqs,number_of_columns,number_residues,average_length,percent_identity,source
RF03543,Insect-Specific Flavivirus 3' UTR repeats Rb,Cis-reg;,19,53,902,47.5,79,Rfam seed
RF03544,Insect-Specific Flavivirus 3' UTR repeats Ra,Cis-reg;,30,65,1725,57.5,67,Rfam seed
RF03545,Insect-specific Flavivirus 3' UTR cis-acting replication element (CRE),Cis-reg;,16,113,1467,91.7,40,Rfam seed
RF03546,Flavivirus 5' UTR,Cis-reg;,8,163,1187,148.4,62,Rfam seed
RF03547,General Flavivirus exoribonuclease-resistant RNA element,Cis-reg;,48,119,3686,76.8,35,Rfam seed
RF03548,mir-302_2 microRNA precursor family,Gene; miRNA;,3,68,203,67.7,97,Rfam seed
RF03549,mir-15_2 microRNA precursor family,Gene; miRNA;,2,56,112,56.0,96,Rfam seed
RF03550,mir-31_2 microRNA precursor family,Gene; miRNA;,2,83,166,83.0,78,Rfam seed
RF03552,mir-43_2 microRNA precursor family,Gene; miRNA;,4,78,311,77.8,79,Rfam seed
RF03553,mir-190_2 microRNA precursor family,Gene; miRNA;,2,123,244,122.0,92,Rfam seed
RF03554,mir-92_2 microRNA precursor family,Gene; miRNA;,2,84,149,74.5,64,Rfam seed
RF03555,mir-2_2 microRNA precursor family,Gene; miRNA;,2,78,156,78.0,92,Rfam seed
RF03556,mir-559 microRNA precursor family,Gene; miRNA;,3,91,272,90.7,99,Rfam seed
RF03557,MIR6019 microRNA precursor family,Gene; miRNA;,2,111,218,109.0,100,Rfam seed
RF03558,mir-629 microRNA precursor family,Gene; miRNA;,2,83,166,83.0,99,Rfam seed
RF03559,mir-8303 microRNA precursor family,Gene; miRNA;,2,58,116,58.0,98,Rfam seed
RF03560,mir-3926 microRNA precursor family,Gene; miRNA;,2,63,126,63.0,89,Rfam seed
RF03561,mir-3533 microRNA precursor family,Gene; miRNA;,2,84,168,84.0,92,Rfam seed
RF03562,mir-2004 microRNA precursor family,Gene; miRNA;,2,98,196,98.0,99,Rfam seed
RF03563,mir-BART16 microRNA precursor family,Gene; miRNA;,2,87,172,86.0,81,Rfam seed
RF03564,mir-9416 microRNA precursor family,Gene; miRNA;,2,68,136,68.0,99,Rfam seed
RF03565,mir-1282 microRNA precursor family,Gene; miRNA;,6,102,605,100.8,98,Rfam seed
RF03566,mir-4875 microRNA precursor family,Gene; miRNA;,2,73,146,73.0,74,Rfam seed
RF03567,MIR8024 microRNA precursor family,Gene; miRNA;,2,86,172,86.0,92,Rfam seed
RF03568,mir-3204 microRNA precursor family,Gene; miRNA;,2,75,150,75.0,96,Rfam seed
RF03569,mir-7973 microRNA precursor family,Gene; miRNA;,2,74,148,74.0,78,Rfam seed
RF03570,mir-8286 microRNA precursor family,Gene; miRNA;,2,56,112,56.0,98,Rfam seed
RF03571,mir-734 microRNA precursor family,Gene; miRNA;,2,93,186,93.0,99,Rfam seed
RF03572,MIR2109 microRNA precursor family,Gene; miRNA;,2,71,142,71.0,100,Rfam seed
RF03573,mir-1954 microRNA precursor family,Gene; miRNA;,2,82,162,81.0,79,Rfam seed
RF03574,mir-4847 microRNA precursor family,Gene; miRNA;,2,79,157,78.5,90,Rfam seed
RF03575,mir-rL1-14 microRNA precursor family,Gene; miRNA;,3,87,259,86.3,80,Rfam seed
RF03576,mir-4435 microRNA precursor family,Gene; miRNA;,2,74,148,74.0,100,Rfam seed
RF03577,mir-9193 microRNA precursor family,Gene; miRNA;,2,74,148,74.0,81,Rfam seed
RF03578,mir-3910 microRNA precursor family,Gene; miRNA;,2,82,164,82.0,88,Rfam seed
RF03579,mir-2058 microRNA precursor family,Gene; miRNA;,2,72,142,71.0,90,Rfam seed
RF03580,mir-928 microRNA precursor family,Gene; miRNA;,2,100,200,100.0,79,Rfam seed
RF03581,mir-4878 microRNA precursor family,Gene; miRNA;,2,73,146,73.0,99,Rfam seed
RF03582,mir-m22-1 microRNA precursor family,Gene; miRNA;,2,67,132,66.0,61,Rfam seed
RF03583,MIR781 microRNA precursor family,Gene; miRNA;,3,94,275,91.7,84,Rfam seed
RF03584,mir-2290 microRNA precursor family,Gene; miRNA;,2,80,160,80.0,96,Rfam seed
RF03585,mir-3938 microRNA precursor family,Gene; miRNA;,2,88,174,87.0,93,Rfam seed
RF03586,mir-5132 microRNA precursor family,Gene; miRNA;,2,71,142,71.0,94,Rfam seed
RF03587,mir-1202 microRNA precursor family,Gene; miRNA;,3,80,240,80.0,98,Rfam seed
RF03588,mir-2319 microRNA precursor family,Gene; miRNA;,2,71,142,71.0,87,Rfam seed
RF03589,mir-5583 microRNA precursor family,Gene; miRNA;,2,59,118,59.0,81,Rfam seed
RF03590,mir-2009 microRNA precursor family,Gene; miRNA;,3,83,246,82.0,88,Rfam seed
RF03591,mir-3117 microRNA precursor family,Gene; miRNA;,2,78,156,78.0,100,Rfam seed
RF03592,mir-2567 microRNA precursor family,Gene; miRNA;,3,86,252,84.0,80,Rfam seed
RF03593,mir-2331 microRNA precursor family,Gene; miRNA;,2,71,142,71.0,99,Rfam seed
RF03594,mir-3817 microRNA precursor family,Gene; miRNA;,2,89,175,87.5,74,Rfam seed
RF03595,mir-3569 microRNA precursor family,Gene; miRNA;,2,58,115,57.5,89,Rfam seed
RF03596,mir-5880 microRNA precursor family,Gene; miRNA;,2,79,156,78.0,79,Rfam seed
RF03597,MIR6438 microRNA precursor family,Gene; miRNA;,2,100,186,93.0,80,Rfam seed
RF03598,MIR6024 microRNA precursor family,Gene; miRNA;,3,103,299,99.7,87,Rfam seed
RF03599,MIR1883 microRNA precursor family,Gene; miRNA;,2,118,234,117.0,84,Rfam seed
RF03600,MIR3627 microRNA precursor family,Gene; miRNA;,5,91,442,88.4,74,Rfam seed
RF03601,MIR7993 microRNA precursor family,Gene; miRNA;,4,151,560,140.0,79,Rfam seed
RF03602,mir-8250 microRNA precursor family,Gene; miRNA;,4,60,240,60.0,78,Rfam seed
RF03603,mir-4899 microRNA precursor family,Gene; miRNA;,2,87,173,86.5,83,Rfam seed
RF03604,mir-5728 microRNA precursor family,Gene; miRNA;,2,84,168,84.0,94,Rfam seed
RF03605,MIR4221 microRNA precursor family,Gene; miRNA;,2,132,247,123.5,78,Rfam seed
RF03606,mir-2071 microRNA precursor family,Gene; miRNA;,2,74,148,74.0,100,Rfam seed
RF03607,mir-9447 microRNA precursor family,Gene; miRNA;,2,68,136,68.0,97,Rfam seed
RF03608,mir-9440 microRNA precursor family,Gene; miRNA;,4,68,267,66.8,95,Rfam seed
RF03609,mir-5470 microRNA precursor family,Gene; miRNA;,2,81,158,79.0,86,Rfam seed
RF03610,mir-H7 microRNA precursor family,Gene; miRNA;,2,69,134,67.0,92,Rfam seed
RF03611,mir-7147 microRNA precursor family,Gene; miRNA;,2,58,116,58.0,100,Rfam seed
RF03612,mir-608 microRNA precursor family,Gene; miRNA;,2,82,164,82.0,95,Rfam seed
RF03613,MIR6234 microRNA precursor family,Gene; miRNA;,2,146,292,146.0,99,Rfam seed
RF03614,mir-3431 microRNA precursor family,Gene; miRNA;,2,86,172,86.0,100,Rfam seed
RF03615,mir-4877 microRNA precursor family,Gene; miRNA;,2,87,174,87.0,92,Rfam seed
RF03616,MIR1888 microRNA precursor family,Gene; miRNA;,2,101,201,100.5,87,Rfam seed
RF03617,MIR8757 microRNA precursor family,Gene; miRNA;,2,72,143,71.5,79,Rfam seed
RF03618,mir-5592 microRNA precursor family,Gene; miRNA;,2,66,128,64.0,88,Rfam seed
RF03619,mir-5729 microRNA precursor family,Gene; miRNA;,2,79,158,79.0,91,Rfam seed
RF03620,mir-1233 microRNA precursor family,Gene; miRNA;,6,82,491,81.8,95,Rfam seed
RF03621,MIR4245 microRNA precursor family,Gene; miRNA;,2,128,255,127.5,80,Rfam seed
RF03622,mir-731 microRNA precursor family,Gene; miRNA;,2,90,180,90.0,71,Rfam seed
RF03623,mir-1252 microRNA precursor family,Gene; miRNA;,4,65,260,65.0,98,Rfam seed
RF03624,mir-5345 microRNA precursor family,Gene; miRNA;,2,76,150,75.0,88,Rfam seed
RF03625,MIR6152 microRNA precursor family,Gene; miRNA;,2,97,193,96.5,96,Rfam seed
RF03626,mir-9791 microRNA precursor family,Gene; miRNA;,2,79,152,76.0,96,Rfam seed
RF03627,mir-9168 microRNA precursor family,Gene; miRNA;,2,95,190,95.0,99,Rfam seed
RF03628,mir-2355 microRNA precursor family,Gene; miRNA;,2,71,142,71.0,94,Rfam seed
RF03629,mir-641 microRNA precursor family,Gene; miRNA;,2,98,196,98.0,97,Rfam seed
RF03630,mir-2818 microRNA precursor family,Gene; miRNA;,2,60,120,60.0,100,Rfam seed
RF03631,MIR3440 microRNA precursor family,Gene; miRNA;,2,127,252,126.0,86,Rfam seed
RF03632,MIR1882 microRNA precursor family,Gene; miRNA;,8,131,1040,130.0,94,Rfam seed
RF03633,mir-5882 microRNA precursor family,Gene; miRNA;,2,77,154,77.0,70,Rfam seed
RF03634,mir-3524 microRNA precursor family,Gene; miRNA;,2,84,168,84.0,62,Rfam seed
RF03635,mir-2066 microRNA precursor family,Gene; miRNA;,2,72,144,72.0,97,Rfam seed
RF03636,MIR4376 microRNA precursor family,Gene; miRNA;,2,88,164,82.0,97,Rfam seed
RF03637,mir-5879 microRNA precursor family,Gene; miRNA;,2,76,152,76.0,79,Rfam seed
RF03638,mir-1537 microRNA precursor family,Gene; miRNA;,2,61,122,61.0,97,Rfam seed
RF03639,mir-619 microRNA precursor family,Gene; miRNA;,4,70,280,70.0,94,Rfam seed
RF03640,mir-3747 microRNA precursor family,Gene; miRNA;,2,67,134,67.0,76,Rfam seed
RF03641,mir-991 microRNA precursor family,Gene; miRNA;,2,88,176,88.0,93,Rfam seed
RF03642,MIR5743 microRNA precursor family,Gene; miRNA;,2,81,162,81.0,96,Rfam seed
RF03643,mir-2056 microRNA precursor family,Gene; miRNA;,2,74,148,74.0,93,Rfam seed
RF03644,mir-2064 microRNA precursor family,Gene; miRNA;,2,70,140,70.0,96,Rfam seed
RF03645,mir-9080 microRNA precursor family,Gene; miRNA;,2,108,203,101.5,71,Rfam seed
RF03646,MIR9776 microRNA precursor family,Gene; miRNA;,2,84,168,84.0,99,Rfam seed
RF03647,mir-7640 microRNA precursor family,Gene; miRNA;,2,60,120,60.0,97,Rfam seed
RF03648,mir-9413 microRNA precursor family,Gene; miRNA;,2,68,136,68.0,99,Rfam seed
RF03649,MIR5643 microRNA precursor family,Gene; miRNA;,2,83,166,83.0,94,Rfam seed
RF03650,mir-1290 microRNA precursor family,Gene; miRNA;,3,76,228,76.0,96,Rfam seed
RF03651,mir-2070 microRNA precursor family,Gene; miRNA;,2,71,141,70.5,86,Rfam seed
RF03652,mir-2329 microRNA precursor family,Gene; miRNA;,2,66,132,66.0,91,Rfam seed
RF03653,mir-971 microRNA precursor family,Gene; miRNA;,6,82,453,75.5,67,Rfam seed
RF03654,MIR4239 microRNA precursor family,Gene; miRNA;,2,120,238,119.0,81,Rfam seed
RF03655,MIR1887 microRNA precursor family,Gene; miRNA;,2,63,126,63.0,98,Rfam seed
RF03656,mir-2432 microRNA precursor family,Gene; miRNA;,2,68,136,68.0,100,Rfam seed
RF03657,MIR6145 microRNA precursor family,Gene; miRNA;,2,78,156,78.0,69,Rfam seed
RF03658,mir-2300 microRNA precursor family,Gene; miRNA;,2,74,148,74.0,86,Rfam seed
RF03659,MIR2871 microRNA precursor family,Gene; miRNA;,2,118,234,117.0,97,Rfam seed
RF03660,mir-4018 microRNA precursor family,Gene; miRNA;,2,54,106,53.0,60,Rfam seed
RF03661,mir-933 microRNA precursor family,Gene; miRNA;,4,78,307,76.8,99,Rfam seed
RF03662,mir-2060 microRNA precursor family,Gene; miRNA;,7,94,607,86.7,89,Rfam seed
RF03663,mir-5911 microRNA precursor family,Gene; miRNA;,3,74,222,74.0,82,Rfam seed
RF03664,MIR6288 microRNA precursor family,Gene; miRNA;,3,92,272,90.7,88,Rfam seed
RF03665,MIR4359 microRNA precursor family,Gene; miRNA;,2,67,133,66.5,77,Rfam seed
RF03666,MIR7724 microRNA precursor family,Gene; miRNA;,2,169,336,168.0,96,Rfam seed
RF03667,MIR1031 microRNA precursor family,Gene; miRNA;,2,183,356,178.0,75,Rfam seed
RF03668,mir-1788 microRNA precursor family,Gene; miRNA;,11,80,809,73.5,75,Rfam seed
RF03669,mir-2767 microRNA precursor family,Gene; miRNA;,4,81,311,77.8,73,Rfam seed
RF03670,MIR3932 microRNA precursor family,Gene; miRNA;,2,123,246,123.0,94,Rfam seed
RF03671,MIR3522 microRNA precursor family,Gene; miRNA;,2,89,176,88.0,100,Rfam seed
RF03672,MIR840 microRNA precursor family,Gene; miRNA;,2,147,291,145.5,97,Rfam seed
RF03673,mir-2822 microRNA precursor family,Gene; miRNA;,2,67,134,67.0,96,Rfam seed
RF03674,MIR5387 microRNA precursor family,Gene; miRNA;,2,96,188,94.0,77,Rfam seed
RF03675,mir-1001 microRNA precursor family,Gene; miRNA;,2,90,180,90.0,99,Rfam seed
RF03676,MIR5148 microRNA precursor family,Gene; miRNA;,3,78,232,77.3,97,Rfam seed
RF03677,mir-1304 microRNA precursor family,Gene; miRNA;,2,87,174,87.0,93,Rfam seed
RF03678,mir-3956 microRNA precursor family,Gene; miRNA;,2,98,196,98.0,97,Rfam seed
RF03679,MIR2084 microRNA precursor family,Gene; miRNA;,2,107,212,106.0,77,Rfam seed
RF03680,mir-9465 microRNA precursor family,Gene; miRNA;,2,74,146,73.0,92,Rfam seed
RF03681,mir-1295 microRNA precursor family,Gene; miRNA;,3,78,234,78.0,98,Rfam seed
RF03682,mir-3912 microRNA precursor family,Gene; miRNA;,2,91,182,91.0,98,Rfam seed
RF03683,mir-462 microRNA precursor family,Gene; miRNA;,2,64,128,64.0,100,Rfam seed
RF03684,mir-1990 microRNA precursor family,Gene; miRNA;,4,75,280,70.0,65,Rfam seed
RF03685,MIR9677 microRNA precursor family,Gene; miRNA;,2,87,174,87.0,100,Rfam seed
RF03686,mir-9424 microRNA precursor family,Gene; miRNA;,2,68,136,68.0,85,Rfam seed
RF03687,mir-2011 microRNA precursor family,Gene; miRNA;,4,88,337,84.2,73,Rfam seed
RF03688,mir-3045 microRNA precursor family,Gene; miRNA;,2,75,149,74.5,85,Rfam seed
RF03689,mir-5892 microRNA precursor family,Gene; miRNA;,2,90,180,90.0,98,Rfam seed
RF03690,mir-9058 microRNA precursor family,Gene; miRNA;,2,97,193,96.5,93,Rfam seed
RF03691,mir-2765 microRNA precursor family,Gene; miRNA;,6,85,489,81.5,70,Rfam seed
RF03692,MIR827 microRNA precursor family,Gene; miRNA;,5,133,569,113.8,66,Rfam seed
RF03693,MIR1919 microRNA precursor family,Gene; miRNA;,5,157,590,118.0,79,Rfam seed
RF03694,mir-266 microRNA precursor family,Gene; miRNA;,2,83,155,77.5,81,Rfam seed
RF03695,MIR6151 microRNA precursor family,Gene; miRNA;,9,71,638,70.9,89,Rfam seed
RF03696,mir-4904 microRNA precursor family,Gene; miRNA;,2,79,158,79.0,97,Rfam seed
RF03697,mir-722 microRNA precursor family,Gene; miRNA;,4,67,268,67.0,95,Rfam seed
RF03698,mir-2861 microRNA precursor family,Gene; miRNA;,2,82,164,82.0,93,Rfam seed
RF03699,mir-729 microRNA precursor family,Gene; miRNA;,2,87,168,84.0,75,Rfam seed
RF03700,mir-1923 microRNA precursor family,Gene; miRNA;,2,83,165,82.5,93,Rfam seed
RF03701,mir-4041 microRNA precursor family,Gene; miRNA;,2,54,106,53.0,75,Rfam seed
RF03702,MIR851 microRNA precursor family,Gene; miRNA;,2,108,192,96.0,90,Rfam seed
RF03703,mir-3622 microRNA precursor family,Gene; miRNA;,2,84,166,83.0,87,Rfam seed
RF03704,MIR4380 microRNA precursor family,Gene; miRNA;,3,82,240,80.0,78,Rfam seed
RF03705,mir-1278 microRNA precursor family,Gene; miRNA;,2,77,154,77.0,99,Rfam seed
RF03706,mir-2253 microRNA precursor family,Gene; miRNA;,4,57,227,56.8,85,Rfam seed
RF03707,mir-1892 microRNA precursor family,Gene; miRNA;,2,80,156,78.0,84,Rfam seed
RF03709,MIR1878 microRNA precursor family,Gene; miRNA;,2,100,196,98.0,84,Rfam seed
RF03710,mir-1451 microRNA precursor family,Gene; miRNA;,2,92,184,92.0,90,Rfam seed
RF03711,mir-784 microRNA precursor family,Gene; miRNA;,2,77,151,75.5,78,Rfam seed
RF03712,MIR6450 microRNA precursor family,Gene; miRNA;,2,107,212,106.0,69,Rfam seed
RF03713,mir-1756 microRNA precursor family,Gene; miRNA;,2,90,179,89.5,69,Rfam seed
RF03714,MIR774 microRNA precursor family,Gene; miRNA;,4,101,395,98.8,77,Rfam seed
RF03715,mir-977 microRNA precursor family,Gene; miRNA;,2,90,179,89.5,91,Rfam seed
RF03716,mir-7131 microRNA precursor family,Gene; miRNA;,3,90,246,82.0,85,Rfam seed
RF03717,mir-3119 microRNA precursor family,Gene; miRNA;,2,85,170,85.0,82,Rfam seed
RF03718,mir-2804 microRNA precursor family,Gene; miRNA;,4,78,306,76.5,95,Rfam seed
RF03719,mir-3914 microRNA precursor family,Gene; miRNA;,2,95,190,95.0,76,Rfam seed
RF03720,MIR4228 microRNA precursor family,Gene; miRNA;,2,152,303,151.5,89,Rfam seed
RF03721,mir-3478 microRNA precursor family,Gene; miRNA;,2,78,154,77.0,79,Rfam seed
RF03722,MIR4378 microRNA precursor family,Gene; miRNA;,2,91,179,89.5,69,Rfam seed
RF03723,MIR7125 microRNA precursor family,Gene; miRNA;,2,107,211,105.5,89,Rfam seed
RF03724,mir-1013 microRNA precursor family,Gene; miRNA;,2,61,122,61.0,100,Rfam seed
RF03725,mir-7094 microRNA precursor family,Gene; miRNA;,2,60,120,60.0,98,Rfam seed
RF03726,mir-m21-1 microRNA precursor family,Gene; miRNA;,2,74,147,73.5,59,Rfam seed
RF03727,mir-3477 microRNA precursor family,Gene; miRNA;,2,92,184,92.0,83,Rfam seed
RF03728,MIR1511 microRNA precursor family,Gene; miRNA;,2,85,169,84.5,77,Rfam seed
RF03729,mir-2363 microRNA precursor family,Gene; miRNA;,2,72,144,72.0,86,Rfam seed
RF03730,mir-7615 microRNA precursor family,Gene; miRNA;,2,64,128,64.0,98,Rfam seed
RF03731,mir-7371 microRNA precursor family,Gene; miRNA;,10,63,583,58.3,78,Rfam seed
RF03732,mir-2057 microRNA precursor family,Gene; miRNA;,2,72,144,72.0,93,Rfam seed
RF03733,mir-BART14 microRNA precursor family,Gene; miRNA;,2,78,154,77.0,79,Rfam seed
RF03734,mir-4773 microRNA precursor family,Gene; miRNA;,2,78,156,78.0,92,Rfam seed
RF03735,mir-1502 microRNA precursor family,Gene; miRNA;,2,59,116,58.0,62,Rfam seed
RF03736,mir-3130 microRNA precursor family,Gene; miRNA;,2,75,150,75.0,91,Rfam seed
RF03737,mir-8315 microRNA precursor family,Gene; miRNA;,2,60,118,59.0,90,Rfam seed
RF03738,mir-2320 microRNA precursor family,Gene; miRNA;,2,75,149,74.5,97,Rfam seed
RF03739,mir-4529 microRNA precursor family,Gene; miRNA;,3,83,244,81.3,86,Rfam seed
RF03740,mir-921 microRNA precursor family,Gene; miRNA;,2,56,112,56.0,95,Rfam seed
RF03741,mir-325 microRNA precursor family,Gene; miRNA;,8,98,756,94.5,96,Rfam seed
RF03742,mir-2162 microRNA precursor family,Gene; miRNA;,2,76,151,75.5,89,Rfam seed
RF03743,MIR7696 microRNA precursor family,Gene; miRNA;,4,91,350,87.5,89,Rfam seed
RF03744,MIR3704 microRNA precursor family,Gene; miRNA;,3,118,334,111.3,83,Rfam seed
RF03745,mir-2063 microRNA precursor family,Gene; miRNA;,2,77,154,77.0,97,Rfam seed
RF03746,mir-2318 microRNA precursor family,Gene; miRNA;,2,79,152,76.0,93,Rfam seed
RF03747,mir-4536 microRNA precursor family,Gene; miRNA;,3,88,264,88.0,80,Rfam seed
RF03748,mir-2772 microRNA precursor family,Gene; miRNA;,3,86,258,86.0,98,Rfam seed
RF03749,MIR2617 microRNA precursor family,Gene; miRNA;,3,89,258,86.0,91,Rfam seed
RF03750,mir-2489 microRNA precursor family,Gene; miRNA;,2,95,190,95.0,97,Rfam seed
RF03751,mir-7445 microRNA precursor family,Gene; miRNA;,2,60,120,60.0,83,Rfam seed
RF03752,MIR5292 microRNA precursor family,Gene; miRNA;,2,94,188,94.0,95,Rfam seed
RF03753,mir-1986 microRNA precursor family,Gene; miRNA;,2,60,120,60.0,85,Rfam seed
RF03754,mir-3116 microRNA precursor family,Gene; miRNA;,2,68,136,68.0,85,Rfam seed
RF03755,mir-4005 microRNA precursor family,Gene; miRNA;,2,54,108,54.0,94,Rfam seed
RF03756,mir-4891 microRNA precursor family,Gene; miRNA;,2,88,176,88.0,92,Rfam seed
RF03757,mir-6536 microRNA precursor family,Gene; miRNA;,2,81,160,80.0,90,Rfam seed
RF03758,mir-2756 microRNA precursor family,Gene; miRNA;,2,78,155,77.5,69,Rfam seed
RF03759,MIR8703 microRNA precursor family,Gene; miRNA;,3,83,249,83.0,92,Rfam seed
RF03760,mir-2041 microRNA precursor family,Gene; miRNA;,4,68,272,68.0,90,Rfam seed
RF03761,mir-5897 microRNA precursor family,Gene; miRNA;,2,84,168,84.0,86,Rfam seed
RF03762,MIR859 microRNA precursor family,Gene; miRNA;,2,128,253,126.5,87,Rfam seed
RF03763,mir-2568 microRNA precursor family,Gene; miRNA;,2,88,175,87.5,72,Rfam seed
RF03764,mir-647 microRNA precursor family,Gene; miRNA;,2,86,172,86.0,97,Rfam seed
RF03765,mir-2059 microRNA precursor family,Gene; miRNA;,2,68,136,68.0,90,Rfam seed
RF03766,mir-3155 microRNA precursor family,Gene; miRNA;,2,56,112,56.0,75,Rfam seed
RF03767,mir-3432 microRNA precursor family,Gene; miRNA;,4,79,310,77.5,75,Rfam seed
RF03768,mir-1329 microRNA precursor family,Gene; miRNA;,5,85,425,85.0,90,Rfam seed
RF03769,mir-3913 microRNA precursor family,Gene; miRNA;,2,100,200,100.0,94,Rfam seed
RF03770,mir-125 microRNA precursor family,Gene; miRNA;,2,84,165,82.5,84,Rfam seed
RF03771,mir-341 microRNA precursor family,Gene; miRNA;,2,96,192,96.0,100,Rfam seed
RF03772,mir-4867 microRNA precursor family,Gene; miRNA;,2,73,146,73.0,84,Rfam seed
RF03773,mir-978 microRNA precursor family,Gene; miRNA;,2,86,172,86.0,93,Rfam seed
RF03774,mir-2110 microRNA precursor family,Gene; miRNA;,2,75,150,75.0,99,Rfam seed
RF03775,mir-7578 microRNA precursor family,Gene; miRNA;,2,82,163,81.5,90,Rfam seed
RF03776,mir-2068 microRNA precursor family,Gene; miRNA;,2,68,136,68.0,94,Rfam seed
RF03777,MIR533 microRNA precursor family,Gene; miRNA;,5,147,605,121.0,64,Rfam seed
RF03778,mir-483 microRNA precursor family,Gene; miRNA;,8,76,578,72.2,82,Rfam seed
RF03779,mir-1805 microRNA precursor family,Gene; miRNA;,5,84,397,79.4,92,Rfam seed
RF03780,mir-3389 microRNA precursor family,Gene; miRNA;,2,69,136,68.0,84,Rfam seed
RF03781,mir-4524 microRNA precursor family,Gene; miRNA;,4,84,321,80.2,86,Rfam seed
RF03782,mir-3661 microRNA precursor family,Gene; miRNA;,2,84,168,84.0,98,Rfam seed
RF03783,mir-4854 microRNA precursor family,Gene; miRNA;,2,89,178,89.0,94,Rfam seed
RF03784,mir-2240 microRNA precursor family,Gene; miRNA;,5,97,477,95.4,86,Rfam seed
RF03785,mir-974 microRNA precursor family,Gene; miRNA;,2,91,178,89.0,80,Rfam seed
RF03786,mir-9449 microRNA precursor family,Gene; miRNA;,2,68,136,68.0,99,Rfam seed
RF03787,mir-2010 microRNA precursor family,Gene; miRNA;,2,76,152,76.0,92,Rfam seed
RF03788,MIR5304 microRNA precursor family,Gene; miRNA;,2,80,160,80.0,91,Rfam seed
RF03789,MIR5269 microRNA precursor family,Gene; miRNA;,2,80,159,79.5,81,Rfam seed
RF03790,MIR8008 microRNA precursor family,Gene; miRNA;,2,55,110,55.0,82,Rfam seed
RF03791,mir-4526 microRNA precursor family,Gene; miRNA;,2,87,174,87.0,98,Rfam seed
RF03792,MIR6462 microRNA precursor family,Gene; miRNA;,6,119,697,116.2,87,Rfam seed
RF03793,MIR810 microRNA precursor family,Gene; miRNA;,2,223,416,208.0,99,Rfam seed
RF03794,MIR5298 microRNA precursor family,Gene; miRNA;,4,90,333,83.2,84,Rfam seed
RF03795,MIR6201 microRNA precursor family,Gene; miRNA;,3,114,327,109.0,80,Rfam seed
RF03796,mir-5984 microRNA precursor family,Gene; miRNA;,2,74,148,74.0,86,Rfam seed
RF03797,mir-9235 microRNA precursor family,Gene; miRNA;,2,70,140,70.0,81,Rfam seed
RF03798,MIR4227 microRNA precursor family,Gene; miRNA;,2,122,243,121.5,82,Rfam seed
RF03799,mir-3202 microRNA precursor family,Gene; miRNA;,2,79,158,79.0,84,Rfam seed
RF03800,mir-4477 microRNA precursor family,Gene; miRNA;,2,81,162,81.0,81,Rfam seed
RF03801,mir-7143 microRNA precursor family,Gene; miRNA;,2,61,122,61.0,95,Rfam seed
RF03802,MIR5649 microRNA precursor family,Gene; miRNA;,2,101,202,101.0,89,Rfam seed
RF03803,MIR1886 microRNA precursor family,Gene; miRNA;,4,68,224,56.0,87,Rfam seed
RF03804,mir-4989 microRNA precursor family,Gene; miRNA;,2,80,160,80.0,100,Rfam seed
RF03805,bpcv-mir-B1 microRNA precursor family,Gene; miRNA;,2,72,142,71.0,93,Rfam seed
RF03806,mir-2007 microRNA precursor family,Gene; miRNA;,2,90,177,88.5,97,Rfam seed
RF03807,mir-4890 microRNA precursor family,Gene; miRNA;,2,91,182,91.0,97,Rfam seed
RF03808,mir-3957 microRNA precursor family,Gene; miRNA;,2,77,154,77.0,99,Rfam seed
RF03809,mir-1203 microRNA precursor family,Gene; miRNA;,2,84,168,84.0,98,Rfam seed
RF03810,mir-8932 microRNA precursor family,Gene; miRNA;,2,76,152,76.0,100,Rfam seed
RF03811,mir-1896 microRNA precursor family,Gene; miRNA;,2,81,162,81.0,99,Rfam seed
RF03812,mir-BART19 microRNA precursor family,Gene; miRNA;,2,93,183,91.5,72,Rfam seed
RF03813,MIR8041 microRNA precursor family,Gene; miRNA;,2,71,142,71.0,99,Rfam seed
RF03814,mir-2797 microRNA precursor family,Gene; miRNA;,5,79,385,77.0,65,Rfam seed
RF03815,mir-3051 microRNA precursor family,Gene; miRNA;,2,77,154,77.0,94,Rfam seed
RF03816,MIR6297 microRNA precursor family,Gene; miRNA;,2,107,210,105.0,87,Rfam seed
RF03817,mir-3836 microRNA precursor family,Gene; miRNA;,2,91,182,91.0,96,Rfam seed
RF03818,MIR7994 microRNA precursor family,Gene; miRNA;,2,90,178,89.0,93,Rfam seed
RF03819,mir-Ro6-3 microRNA precursor family,Gene; miRNA;,2,72,142,71.0,77,Rfam seed
RF03820,mir-5429 microRNA precursor family,Gene; miRNA;,2,83,162,81.0,72,Rfam seed
RF03821,mir-2002 microRNA precursor family,Gene; miRNA;,2,68,135,67.5,97,Rfam seed
RF03822,mir-3931 microRNA precursor family,Gene; miRNA;,2,77,148,74.0,76,Rfam seed
RF03823,mir-1814 microRNA precursor family,Gene; miRNA;,2,70,137,68.5,99,Rfam seed
RF03824,MIR5285 microRNA precursor family,Gene; miRNA;,2,63,126,63.0,94,Rfam seed
RF03825,mir-2335 microRNA precursor family,Gene; miRNA;,2,69,138,69.0,96,Rfam seed
RF03826,MIR825 microRNA precursor family,Gene; miRNA;,2,146,286,143.0,91,Rfam seed
RF03827,mir-2229 microRNA precursor family,Gene; miRNA;,3,62,185,61.7,77,Rfam seed
RF03828,MIR831 microRNA precursor family,Gene; miRNA;,2,181,329,164.5,91,Rfam seed
